,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
418,000300.SH,20100104,3482.052,3545.186,3594.528,3426.698,3575.684,-40.455,-1.1314,395403228.0,594089559.89
419,000300.SH,20091228,3535.229,3481.903,3597.748,3451.177,3424.783,53.65,1.5665,279308105.0,394162115.942
420,000300.SH,20091221,3478.433,3402.228,3489.574,3296.292,3391.735,4.887,0.1441,268674978.0,385926236.387
421,000300.SH,20091214,3396.622,3594.51,3620.322,3354.652,3575.02,37.733,1.0555,303877426.0,425074641.71
422,000300.SH,20091207,3612.753,3670.807,3671.042,3495.639,3643.491,25.341,0.6955,347362042.0,484718891.612
423,000300.SH,20091130,3668.832,3507.559,3672.798,3485.524,3382.51,129.159,3.8184,514905691.0,726330182.874
424,000300.SH,20091123,3511.669,3680.746,3698.129,3367.293,3631.013,34.496,0.95,563761559.0,784715626.501
425,000300.SH,20091116,3665.509,3644.962,3666.27,3597.306,3518.722,107.076,3.043,470299438.0,642943585.545
426,000300.SH,20091109,3625.798,3520.395,3625.887,3445.36,3483.021,12.767,0.3665,451257463.0,616038939.93
427,000300.SH,20091102,3495.788,3402.528,3506.027,3397.255,3280.372,112.431,3.4274,420745374.0,570309635.65
428,000300.SH,20091026,3392.803,3384.294,3394.724,3198.309,3413.252,0.987,0.0289,340737974.0,470778150.13199997
429,000300.SH,20091019,3414.239,3355.358,3436.391,3341.415,3241.709,87.449,2.6976,389019754.0,552642018.9289999
430,000300.SH,20091012,3329.158,3144.022,3330.789,3140.498,3163.708,-12.076,-0.3817,325573232.0,457885816.22900003
431,000300.SH,20090928,3151.632,2975.531,3193.59,2923.926,3058.528,-85.885,-2.8081,203949876.0,269102016.48399997
432,000300.SH,20090921,2972.643,3196.009,3237.217,2959.744,3199.689,8.915,0.2786,292329763.0,392900830.464
433,000300.SH,20090914,3208.604,3298.81,3330.432,3090.607,3238.133,55.261,1.7066,439960440.0,596696136.2509999
434,000300.SH,20090907,3293.394,3084.199,3298.905,3047.3,3077.142,27.066,0.8796,409806339.0,567304629.153
435,000300.SH,20090831,3104.208,2804.584,3153.227,2795.486,3046.781,-216.51,-7.1062,394311594.0,512852653.679
436,000300.SH,20090824,2830.271,3210.851,3212.27,2825.767,3203.624,25.976,0.8108,428227001.0,556198791.07
437,000300.SH,20090817,3229.6,3110.708,3241.524,2982.222,3344.462,-204.191,-6.1053,405497144.0,537945045.834
438,000300.SH,20090810,3140.271,3558.645,3569.15,3137.477,3555.095,-10.556,-0.2969,424086912.0,598586913.2360001
439,000300.SH,20090803,3544.539,3803.061,3803.061,3485.364,3734.622,52.411,1.4034,578028149.0,852773675.132
440,000300.SH,20090727,3787.033,3745.549,3789.935,3453.641,3667.556,76.07,2.0741,717298623.0,1005406256.2490001
441,000300.SH,20090720,3743.626,3603.402,3744.242,3532.384,3519.809,71.314,2.0261,629008508.0,897822147.4990001
442,000300.SH,20090713,3591.123,3375.873,3594.872,3375.873,3398.31,-37.299,-1.0976,613334999.0,834835418.927
443,000300.SH,20090706,3361.011,3368.33,3428.029,3261.32,3327.135,47.618,1.4312,562344477.0,729050061.554
444,000300.SH,20090629,3374.753,3191.641,3378.055,3150.654,3128.421,51.551,1.6478,537718847.0,719740115.857
445,000300.SH,20090622,3179.972,3036.404,3182.415,3028.454,3080.001,2.562,0.0832,459235917.0,563435248.268
446,000300.SH,20090615,3082.563,2936.508,3116.155,2929.041,2906.286,59.906,2.0613,450224328.0,554770611.7210001
